Label,State FIPS Code,,,
Section Name,Record Identification,,,
Section Number,0,,,
Question Number,1,,,
Column,1-2,,,
Type of Variable,Num,,,
SAS Variable Name,_STATE,,,
Question Prologue,,,,
Question,State FIPS Code,,,
DATA
Value,Value Label,Frequency,Percentage,Weighted Percentage
1,Alabama,"7,052",1.69,1.51
2,Alaska,"2,977",0.71,0.22
4,Arizona,"8,941",2.14,2.24
5,Arkansas,"5,359",1.28,0.92
6,California,"11,613",2.78,12.22
8,Colorado,"9,317",2.23,1.79
9,Connecticut,"9,163",2.19,1.13
10,Delaware,"3,897",0.93,0.31
11,District of Columbia,"2,624",0.63,0.23
12,Florida,"16,959",4.05,6.92
13,Georgia,"7,354",1.76,3.23
15,Hawaii,"7,684",1.84,0.44
16,Idaho,"5,474",1.31,0.53
17,Illinois,"5,512",1.32,3.91
18,Indiana,"8,894",2.13,2.05
19,Iowa,"9,803",2.34,0.97
20,Kansas,"11,368",2.72,0.88
21,Kentucky,"7,974",1.91,1.38
22,Louisiana,"4,718",1.13,1.41
23,Maine,"11,373",2.72,0.43
24,Maryland,"17,419",4.16,1.88
25,Massachusetts,"7,731",1.85,2.21
26,Michigan,"10,518",2.51,3.12
27,Minnesota,"15,539",3.72,1.73
28,Mississippi,"5,126",1.23,0.91
29,Missouri,"7,304",1.75,1.89
30,Montana,"6,495",1.55,0.33
31,Nebraska,"15,869",3.79,0.58
32,Nevada,"2,779",0.66,0.95
33,New Hampshire,"5,856",1.4,0.44
35,New Mexico,"5,975",1.43,0.64
36,New York,"14,232",3.4,6.12
37,North Carolina,"4,287",1.02,3.26
38,North Dakota,"5,534",1.32,0.23
39,Ohio,"13,536",3.24,3.62
40,Oklahoma,"6,335",1.51,1.19
41,Oregon,"6,112",1.46,1.34
42,Pennsylvania,"6,606",1.58,4.04
44,Rhode Island,"6,110",1.46,0.34
45,South Carolina,"7,146",1.71,1.61
46,South Dakota,"6,630",1.59,0.27
47,Tennessee,"6,242",1.49,2.11
48,Texas,"12,297",2.94,8.63
49,Utah,"11,792",2.82,0.91
50,Vermont,"6,457",1.54,0.2
51,Virginia,"9,952",2.38,2.66
53,Washington,"12,993",3.11,2.38
54,West Virginia,"5,301",1.27,0.57
55,Wisconsin,"4,951",1.18,1.81
56,Wyoming,"4,630",1.11,0.18
66,Guam,"2,426",0.58,0.04
72,Puerto Rico,"6,032",1.44,1.08
